Rating,Number Of Ratings,Address
4.5/5,73 ratings,"240 Danada Square W, Wheaton, IL 60189"
Crispy Fiery Pepper,$11.39,Hand-Battered Crispers,Hot. Served with housemade ranch.
Crispy Honey-Chipotle,$11.39,Hand-Battered Crispers,Medium-hot. Served with housemade ranch.
Crispy Buffalo Bleu,$11.59,Hand-Battered Crispers,Medium. Served with Bleu cheese.
Crispy,$11.39,Hand-Battered Crispers,"Mild-medium. Served with choice of honey-mustard, BBQ sauce or house-made ranch."
Original,$11.39,Hand-Battered Crispers,Chili's Favorite. Mild. These crispers beat fish & chips at their own game. Served with honey-mustard.
Honey-Chipotle Crispers & Waffles,$12.29,Hand-Battered Crispers,"Crispers on top of Belgian waffles. Topped with bacon, jalapeños, ancho-chile ranch. Served with fries & honey-chipotle sauce."
Cajun Pasta,$12.49,Cajun Pasta,"Chili's Favorite. Penne in alfredo sauce, topped with chile spices, Parmesan, tomatoes, green onions. Served with garlic toast. Voted ""most popular"" by its peers"
Ancho Salmon,$15.29,Guiltless Grill®,"590 cal. Seared chile-rubbed Atlantic salmon, spicy citrus-chile sauce, cilantro, queso fresco. Served with Mexican rice & steamed broccoli."
Grilled Chicken Salad,$11.29,Guiltless Grill®,"430 cal. Tomatoes, corn & black bean salsa, shredded cheese with honey-lime vinaigrette."
Margarita Grilled Chicken,$11.49,Guiltless Grill®,"Chili's Favorite. 600 cal. Pico, tortilla strips, Mexican rice, black beans. It only tastes like a guilty pleasure."
6 oz. Classic Sirloin with Grilled Avocado,$12.29,Guiltless Grill®,"420 cal. Seasoned & topped with spicy citrus-chile sauce, grilled avocado slices, garlic roasted tomatoes, cilantro. Served with fresco salad."
Mango-Chile Chicken,$11.49,Guiltless Grill®,"460 cal. Chile spices, mango glaze & topped with chopped mango, cilantro, pico, avocado. Served with Mexican rice, steamed broccoli."
Boneless Wings (22 Count),$17.00,Party Favorites,Served with fresh celery and choice of ranch or bleu cheese on the side.
Boneless Wings,$25.00,Party Favorites,Choose up to 3 flavors. Served with fresh celery and choice of ranch or bleu cheese on the side.
Bone-In Wings (16 Count),$17.00,Party Favorites,Choose up to 2 flavors. Served with fresh celery and choice of ranch or Bleu cheese on the side.
Bone-In Wings,$25.00,Party Favorites,Choose up to 3 flavors. Served with fresh celery and choice of ranch or Bleu cheese on the side.
Our Famous Chicken Crispers,$15.00,Party Favorites,"Served with choice of BBQ sauce, honey-mustard or ranch on the side."
Kraft Macaroni & Cheese,$5.20,For the Kiddos, 
Grilled Cheese Sandwich,$5.20,For the Kiddos, 
Cheese Quesadilla,$5.20,For the Kiddos, 
Cheesy Chicken Pasta,$5.50,For the Kiddos, 
Chicken Dippers,$5.50,For the Kiddos, 
Cheeseburger Bites,$5.50,For the Kiddos, 
6” Pizza,$5.50,For the Kiddos, 
Mexican Rice,$2.50,Our Good Sides, 
Fries,$2.50,Our Good Sides, 
Steamed Broccoli,$2.50,Our Good Sides, 
Sweet Corn on the Cob,$2.50,Our Good Sides, 
Loaded Mashed Potatoes,$2.50,Our Good Sides, 
Black Beans,$2.50,Our Good Sides, 
Roasted Street Corn,$3.50,Our Good Sides, 
Asparagus & Garlic Roasted Tomatoes,$3.50,Our Good Sides, 
Spiced Panko Onion Rings,$3.50,Our Good Sides, 
Molten Chocolate Cake,$7.29,"Hey, Sweet Stuff","Chili's Favorite. Chocolate cake with a molten chocolate center, topped with vanilla ice cream in a chocolate shell. Big enough to share, too good to actually do it."
Skillet Chocolate Chip Cookie,$7.29,"Hey, Sweet Stuff","Topped with vanilla ice cream, hot fudge."
Cheesecake,$7.29,"Hey, Sweet Stuff",Served over strawberry puree.
