,ticker,date,MV_pred,MV,close
671,RRGB,2015-07-30,1728356.4,1290933.6,167.06698236762122
670,RRGB,2015-07-31,1686561.93,1290157.76,164.3155469065236
669,RRGB,2015-08-03,1709754.9,1301923.84,166.56767782740715
668,RRGB,2015-08-04,1707167.35,1302207.36,165.95768042034973
667,RRGB,2015-08-05,1688367.62,1328007.6800000002,165.12679103364226
666,RRGB,2015-08-06,1718395.11,1311280.0,167.06850651821375
665,RRGB,2015-08-07,1707644.29,1250890.24,166.5702776721414
664,RRGB,2015-08-10,1713076.75,1269886.08,167.10022642947715
663,RRGB,2015-08-11,1717032.71,1176324.48,166.545076869193
662,RRGB,2015-08-12,1717415.4,1122455.6800000002,166.75852186214047
661,RRGB,2015-08-13,1722201.97,1169094.72,166.95635025927595
660,RRGB,2015-08-14,1712737.3,1183270.72,167.53535258683632
659,RRGB,2015-08-17,1699701.98,1181994.88,166.709144708454
658,RRGB,2015-08-18,1696543.42,1182420.16,168.7525148241037
657,RRGB,2015-08-19,1699507.47,1176324.48,164.79668594115603
656,RRGB,2015-08-20,1710853.31,1162432.0,186.68134663786728
655,RRGB,2015-08-21,1727401.79,1125432.64,186.3412187065154
654,RRGB,2015-08-24,1697700.62,1081203.52,184.68248334316144
653,RRGB,2015-08-25,1685258.28,1139466.88,183.8089183671629
652,RRGB,2015-08-26,1684963.74,1136348.16,183.67098149775222
651,RRGB,2015-08-27,1712377.92,1125716.16,184.10332374238664
650,RRGB,2015-08-28,1715914.1,1135781.12,186.62101516411394
649,RRGB,2015-08-31,1719108.5,1141048.92,188.3520332465759
648,RRGB,2015-09-01,1718159.18,1096268.56,186.2287160322862
647,RRGB,2015-09-02,1713914.25,1115682.83,186.466496695632
646,RRGB,2015-09-03,1589464.34,1138356.43,184.48505131627505
645,RRGB,2015-09-04,1713647.44,1102645.51,190.6415995439442
644,RRGB,2015-09-08,1707586.15,1131837.77,189.49277593828293
643,RRGB,2015-09-09,1698254.17,1161738.58,188.2986062020649
642,RRGB,2015-09-10,1691084.16,1125177.4000000001,187.1758242181073
641,RRGB,2015-09-11,1675524.03,1126452.79,186.0296715457739
640,RRGB,2015-09-14,1658394.75,1161455.16,184.54917272878413
639,RRGB,2015-09-15,1660632.26,1156778.73,183.02468864922326
638,RRGB,2015-09-16,1704118.62,1118942.16,187.57080718879115
637,RRGB,2015-09-17,1658014.51,1128436.73,185.77312687404537
636,RRGB,2015-09-18,1704430.46,1131270.93,190.49422370771873
635,RRGB,2015-09-21,1679890.86,1114974.28,190.55797822310373
634,RRGB,2015-09-22,1576543.12,1105621.42,186.3225602559709
633,RRGB,2015-09-23,1679110.85,1107888.78,193.27457269343074
632,RRGB,2015-09-24,1688869.13,1103637.48,195.09721295946352
631,RRGB,2015-09-25,1705656.03,1113273.76,198.09069024723286
630,RRGB,2015-09-28,1679280.96,1094426.33,196.7131520089711
629,RRGB,2015-09-29,1686670.47,1060415.93,197.57551255062413
628,RRGB,2015-09-30,1676442.89,1067218.01,199.68604533859082
627,RRGB,2015-10-01,1693233.08,1081955.8499999999,199.87692773571632
626,RRGB,2015-10-02,1647909.14,1075578.9000000001,199.26133006288643
625,RRGB,2015-10-05,1674017.49,1099811.31,197.10646498772735
624,RRGB,2015-10-06,1692592.35,1112990.34,198.21552009874614
623,RRGB,2015-10-07,1682210.79,1120075.84,199.7088373117213
622,RRGB,2015-10-08,1691513.74,1120500.97,201.27909793481652
621,RRGB,2015-10-09,1721277.78,1133113.16,200.58685642968862
620,RRGB,2015-10-12,1722064.78,1128295.02,201.28413332023746
619,RRGB,2015-10-13,1723250.16,1135663.94,202.17753744616073
618,RRGB,2015-10-14,1632444.25,1119934.1300000001,200.7781147269628
617,RRGB,2015-10-15,1701389.92,1085498.5999999999,201.3818535385418
616,RRGB,2015-10-16,1692712.82,1106188.26,201.23882465820077
615,RRGB,2015-10-19,1725950.9,1117950.19,202.666449418627
614,RRGB,2015-10-20,1717655.8,1145016.8,203.11412770710774
613,RRGB,2015-10-21,1720846.23,1135947.3599999999,202.23987930244442
612,RRGB,2015-10-22,1717653.14,1097260.53,204.5153832025943
611,RRGB,2015-10-23,1681508.25,1107888.78,202.66219451389054
610,RRGB,2015-10-26,1716574.26,1116958.22,205.38707061261712
609,RRGB,2015-10-27,1694503.95,1146433.9000000001,204.40304230064146
608,RRGB,2015-10-28,1716577.52,1132546.32,205.85432715904398
607,RRGB,2015-10-29,1663639.94,1157062.1500000001,201.3487801290218
606,RRGB,2015-10-30,1558824.8,1079231.01,195.38185590024705
605,RRGB,2015-11-02,1647505.52,1049591.84,198.70566178890783
604,RRGB,2015-11-03,1690623.11,1043692.1,199.37380105359165
603,RRGB,2015-11-04,1602740.77,997337.0,195.50807296810598
602,RRGB,2015-11-05,1703849.44,937215.84,200.17197090668697
601,RRGB,2015-11-06,1686828.6,934406.44,201.91190790910943
600,RRGB,2015-11-09,1699542.15,945222.6300000001,199.6166604042884
599,RRGB,2015-11-10,1669904.32,928225.76,198.53546202797017
598,RRGB,2015-11-11,1691035.67,936092.08,198.8877978537703
597,RRGB,2015-11-12,1720691.44,962079.0299999999,200.11346747625956
