Username,location,friend_count,review_count,photo_count,rating,date,review,Url
Rusten M.,"West Palm Beach, FL",21,104,647,4.0,2/9/2015,"CPK is one of the better chain restaurants.  A little higher priced, but fresh, consistent, and great service. They have amazing salads (large, fresh, unique and tasty) and everything has a fresh, light-handed approach. Many people overlook their spicy/Mexican-flare which is often as-good/better than their specialty pizzas.  Their White-Corn Guacamole is excellent.  Their Tortilla Soup is very good (especially combined with the Potato Leak, as ""Two in a Bowl"").  I believe the Chili Relleno's are new, very tasty. They're also extremely good about sending food back that is not to your liking.  It's a policy for the entire chain, it seems. The best part is the Wellilngton location generally doesn't have a wait and they aren't as rushed as the Gardens Mall.  Better yet, they're not in the food-court so parking is a breeze!",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Noelle R.,"Lake Worth, FL",0,25,12,5.0,9/1/2015,"My favorite go to lunch place!   They make the most amazing salads, and the food is always super fresh!! Roasted veggie salad is to die for, especially with grilled salmon added!! All the employees are professional,  polite, friendly,  and look clean!!!  LOVE LOVE this place!  Jorge, and Justin are the BEST servers ever!! Ask for them if you go in!!",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Emily R.,"Germantown, TN",40,253,623,5.0,3/26/2015,"The pasta in meat sauce was delicious. The spaghetti was cooked to a perfect al dente. The sauce has a wi fearful balance of sweetness and acidity and seasonings. The sauce contains tiny bits of caramelized onions, celery and carrots along with beef and Italian sausage.  The server was attentive and knowledgeable regarding the options on the menu.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Luc L.,"Wellington, FL",42,111,73,4.0,7/13/2014,"Love this place! The interior is really up to date. Service is great, no clowns with flares running around, just straightforward and friendly. They always have craft beer on tap and the pizza is to die for. Maybe the only negative is that it's located in a shopping mall but hey, I can live with that.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Jay Infamous L.,"Harlem, Manhattan, NY",150,493,35,3.0,7/12/2015,"One of the few spots I went to this recent trip in West Palm Beach.  My love for pizza is probably as much as my love for burgers so when trying out California Pizza Kitchen for the first time was somewhat anticipated. Firstly, had the strawberry Mango Cooler which sounded good at first till it arrives. It looked like flavored water...which is what most of it taste like. It is suggested that you stir this drink a little to get some kind of flavor out of it but that helps very little. It tasted like 40% water at the begin, 20% fruit juice in the middle and another 40% water when it gets towards the end of the drink. I should of went with the margarita instead. Now for the pizza: I had the mushroom pepperoni sausage pizza, which I wouldn't of minded if I could of gotten it without mushrooms in the first place. The pizza however was good and so was the Ceasar salad that came with it as well but it could of been more filling and as mentioned would of preferred to have the choice of having it just pepperoni and sausage or to at least choose an alternative to the mushrooms. Other than all of that though California Pizza Kitchen is a decent lunch spot to go to with family or I guess during a work break.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Gina T.,"Chicago, IL",1,26,6,4.0,4/10/2015,Pros:  - Food is very good and it's always fresh.  - They just remodeled it about a year or 2 ago and it's a much more attractive and pleasant atmosphere than previously.  Cons:  - Very expensive for what it is.  - Portions have gotten smaller.  - The service here is inconsistent. One day you'll go and have great service and the next time it will be bad.,https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Mark H.,"Lake Worth, FL",26,142,6,3.0,1/21/2015,"We were tired of papa-johns so tried this place hoping for something a bit healthier and convenient while shopping in the mall.  After eating our pizza I didn't feel sluggish or sick, so I guess it's good in that respect.  My taste buds really weren't that excited about the food though.  We had a cheese and tomato pizza and shared as a family.   The regular pizzas are about $12.00 and you get six slices.  The crust would seem like a thin crust compared to any of the chains, but I was surprised that I got full off of just two slices.  The hostess says most people can't finish their pizzas even though they are only 13"".  I also had a guac and chip appetizer that I got free for signing up from their app and it tasted healthy but not exciting. The best thing about the place was the 1)  the peaceful surroundings - the music is not loud and the people are quiet. 2) they make it a point to pay particular attention to people with food allergies and make sure you don't get sick 3) the employees and waitstaff are very friendly and attentive. -very relaxed and were nice to our little kids who can be bratty very frequently.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Mike B.,"Jacksonville Beach, FL",148,4,2,5.0,2/16/2016,"Excellent service by Hillary! Great food and atmosphere, they even made a dish for me that wasn't even on the menu anymore. Chicken Caesar Sandwich with sedona tortilla soup. If you go sit near the bar and request Hillary great personality and very attentive.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Jamie K.,"Boynton Beach, FL",26,77,,4.0,6/15/2015,"It was a shopping girl's day but before diving in heels first to the good stuff, we had to fill our bellies and regain energy. We figured California Pizza Kitchen had a little bit of everything for everyone. Our server was very sweet when she came to the table for our drink orders, everyone was drinking wine or beer (because what else do you do in the middle of the day on Saturday?) and it was a fresh strawberry mango cooler for me (preggo here.) Our server brought over bread and was very patient as we chatted away without looking at the menu for a good 20 minutes. What I really appreciated though, was she happened to notice that I wasn't quite downing my drink; while refreshing and very delicious it was a little too sweet for even my liking. Shocking I know. After finally stopping to look at the menu, we all ordered, my girlfriend's had the Tuscan hummus and the chicken flatbread and I was still undecided by the time she got to me. I asked for recommendations and settled on the vegetable salad which came highly recommended.  Because we went back to talking without missing a breath, I didn't notice whether the food wait was long or short, but alas it was time to eat. I know for sure one of my girlfriend's loved her flatbread because it was almost gone before we left, my other friend enjoyed her hummus and commented on how much she liked the pita that it came with and she appreciated the freshness of the vegetables. My salad, wowzers; I was talking about that thing even the next day it was that good. It had every fresh vegetable you can imagine: roasted eggplant, avocado, tomatoes, red and yellow peppers, roasted corn and sun dried tomatoes all over romaine lettuce and tossed with a light, and very mildly sweet Dijon balsamic vinaigrette. I also threw some grilled chicken in for a little protein. Honestly, my husband and I had stopped going to CPK because they took our favorite pizza off the menu - this salad would make me go back. It was really delicious and loaded with vegetables that were all very fresh, I just enjoyed that every bite I took had a different flavor. If you are a salad lover, go for this one for sure.  We didn't save any room for dessert this day because we had a shopping mission to accomplish, but it was definitely a good choice for everyone and I will now be back to CPK in the near future.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
David K.,"Lake Worth, FL",107,116,173,4.0,5/6/2014,"I'm a creature of habit here. The BBQ chicken pizza is my go to order at this place. It is always good and there are times that I just crave it. This location was recently remodeled and it has a more open feel. Some hi-top tables are a nice addition. Although often busy with a wait, they handle the crowd with skill and get folks in and out swiftly. My kids LOVE their mac and cheese and I have to admit, I've stolen a bit or two and its pretty good as well. When the food court just won't do, give CPK a try.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
Jessica H.,"Boynton Beach, FL",34,24,13,3.0,12/1/2015,"My boyfriend and I went here yesterday for lunch. It was both of our first times. We waited to be seated for over 5 minutes and no one said anything. Finally, we sat down and waited another 15 minutes for simple drinks. We both got the lunch combos. My boyfriend loved his sandwich & salad. My soup and salad was pretty tasty too. The service was pretty bad so luckily the food was good. We want to try dinner and dessert sometime.",https://www.yelp.com/biz/california-pizza-kitchen-wellington?start=20
