Rating,Number Of Ratings,Address
4.4/5,732 ratings,"280 S Coast Hwy, Laguna Beach, CA 92651, USA"
"Bj's Favorite (Medium 12"")",$22.95,BJ's Deep Dish Pizza,8 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (310 calories per slice).
"Bj's Favorite (Large 14"")",$27.25,BJ's Deep Dish Pizza,10 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (360 calories per slice).
"Gourmet Five Meat (Mini 6"")",$12.75,BJ's Deep Dish Pizza,4 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (240 calories per slice).
"Gourmet Five Meat (Small 9"")",$16.95,BJ's Deep Dish Pizza,6 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (320 calories per slice).
"Gourmet Five Meat (Medium 12"")",$22.95,BJ's Deep Dish Pizza,8 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (360 calories per slice).
"Gourmet Five Meat (Large 14"")",$27.25,BJ's Deep Dish Pizza,10 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (400 calories per slice).
"Pepperoni Extreme (Mini 6"")",$12.25,BJ's Deep Dish Pizza,"4 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (190 calories per slice)."
"Pepperoni Extreme (Small 9"")",$15.95,BJ's Deep Dish Pizza,"6 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (260 calories per slice)."
"Pepperoni Extreme (Medium 12"")",$21.75,BJ's Deep Dish Pizza,"8 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (340 calories per slice)."
"Pepperoni Extreme (Large 14"")",$25.75,BJ's Deep Dish Pizza,"10 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (380 calories per slice)."
