Rating,Number Of Ratings,Address
4.6/5,1074 ratings,"939 Broxton Avenue, Los Angeles, CA 90024, USA"
Enlightened Seared Ahi Salad,$17.75,BJ's Garden Fresh Entrée Salads,Sashimi grade ahi | baby field greens | napa cabbage | romaine | red bell peppers | tomatoes | avocado | pickled cucumber | cilantro | spicy wasabi | wonton strips | red + green onions | rice wine vinaigrette (cal. 580).
Shrimp Scampi,$19.25,Pasta Favorites,Sauteed jumbo shrimp | spaghetti | garlic butter sauce | diced tomatoes | garlic | fresh basil |parsley | parmesan cheese
Shrimp and Asparagus Penne,$18.75,Pasta Favorites,Sautéed garlic shrimp | asparagus | San Marzano marinara | fresh basil | parmesan cheese | toasted bread crumbs (cal. 730).
Jumbo Spaghetti and Meatballs,$17.50,Pasta Favorites,Housemade meatballs | San Marzano marinara | fresh garlic | red pepper flakes | fresh basil | parmesan cheese (cal. 1460).
Grilled Chicken Alfredo,$17.95,Pasta Favorites,"Herb-roasted, grilled chicken | fettuccini | creamy alfredo | steamed broccoli | parmesan cheese (cal. 1380)."
Deep Dish Ziti,$17.50,Pasta Favorites,Housemade meatballs | Italian sausage | diced pepperoni | San Marzano marinara | creamy alfredo | Italian herbs | BJ’s signature five cheese blend | parmesan cheese | fresh basil (cal. 1400).
Italiano Vegetable Penne,$13.75,Pasta Favorites,Sautéed bell peppers | onions | garlic | seasoned tomatoes | San Marzano marinara | parmesan cheese | fresh basil (cal. 740).
Tuscan Tomato Bisque,$7.95,Housemade Soups,Bowl. Creamy tomato soup | croutons | fresh parsley (cal. 560).
Broccoli Cheddar,$7.95,Housemade Soups,Bowl. Creamy broccoli cheddar soup | jack + cheddar cheese | parsley (cal. 380).
Clam Chowder,$7.95,Housemade Soups,Bowl. Creamy clam chowder | fresh parsley | crackers (cal. 440).
Piranha Pale Ale Chili,$8.50,Housemade Soups,Bowl. Piranha® pale ale chili | jack + cheddar cheese | sour cream | green onion (cal. 560).
Chicken Tortilla,$7.95,Housemade Soups,Bowl. Chicken tortilla soup | jack + cheddar cheese | avocado | cilantro | tortilla strips (cal. 280).
Soup and Salad Combo,$10.95,Housemade Soups,"Bowl of housemade soup | house, Caesar, wedge or fresh mozzarella and tomato salad (cal. 360-970)."
"Build Your Own Pizza (6"")",$10.25,Build Your Own Pizza,4 slices. 140 calories per slice.
"Build Your Own Pizza (9"")",$12.75,Build Your Own Pizza,6 slices. 210 calories per slice.
"Build Your Own Pizza (12"")",$17.25,Build Your Own Pizza,8 slices. 270 calories per slice.
"Build Your Own Pizza (14"")",$19.95,Build Your Own Pizza,￼10 slices. 300 calories per slice.
"BJ's Favorite (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (180 calories per slice).
"BJ's Favorite (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (250 calories per slice).
"BJ's Favorite (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (310 calories per slice).
"BJ's Favorite (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Housemade meatballs | pepperoni | Italian sausage | mushrooms | green bell peppers | black olives | white onions | seasoned tomatoes (360 calories per slice).
"Gourmet Five Meat (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (240 calories per slice).
"Gourmet Five Meat (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (320 calories per slice).
"Gourmet Five Meat (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (360 calories per slice).
"Gourmet Five Meat (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Housemade meatballs | pepperoni | oven-roasted ham | applewood smoked bacon | Italian sausage | parmesan cheese (400 calories per slice).
"Pepperoni Extreme (Mini 6"")",$13.25,BJ's Deep Dish Pizza,"4 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (190 calories per slice)."
"Pepperoni Extreme (Small 9"")",$17.25,BJ's Deep Dish Pizza,"6 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (260 calories per slice)."
"Pepperoni Extreme (Medium 12"")",$23.25,BJ's Deep Dish Pizza,"8 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (340 calories per slice)."
"Pepperoni Extreme (Large 14"")",$27.50,BJ's Deep Dish Pizza,"10 slices. Pepperoni sliced, diced + julienned | BJ’s signature five cheese blend (380 calories per slice)."
"Buffalo Chicken (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (170 calories per slice).
"Buffalo Chicken (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (240 calories per slice).
"Buffalo Chicken (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (310 calories per slice).
"Buffalo Chicken (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Grilled chicken | spicy buffalo BBQ sauce | celery | red onions | a drizzle of ranch + buffalo sauce (340 calories per slice).
"Chicken Bacon Ranch (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (240 calories per slice).
"Chicken Bacon Ranch (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (330 calories per slice).
"Chicken Bacon Ranch (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (410 calories per slice).
"Chicken Bacon Ranch (Large 14"")",$28.95,BJ's Deep Dish Pizza,10 slices. Grilled chicken | applewood smoked bacon | jack + cheddar cheese | red onions | diced tomatoes | a drizzle of ranch (470 calories per slice).
"BJ's Classic Combo (Mini 6"")",$13.25,BJ's Deep Dish Pizza,4 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (190 calories per slice).
"BJ's Classic Combo (Small 9"")",$17.25,BJ's Deep Dish Pizza,6 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (260 calories per slice).
"BJ's Classic Combo (Medium 12"")",$23.25,BJ's Deep Dish Pizza,8 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (330 calories per slice).
"BJ's Classic Combo (Large 14"")",$27.50,BJ's Deep Dish Pizza,10 slices. Pepperoni | Italian sausage | mushrooms | seasoned tomatoes (370 calories per slice).
"Mediterranean (Mini 6"")",$13.75,BJ's Deep Dish Pizza,4 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (220 calories per slice).
"Mediterranean (Small 9"")",$18.25,BJ's Deep Dish Pizza,6 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (290 calories per slice).
"Mediterranean (Medium 12"")",$24.50,BJ's Deep Dish Pizza,8 slices. Grilled chicken | basil pesto | roasted garlic | kalamata olives | sun-dried + seasoned tomatoes | crumbled feta cheese | peperoncinis (380 calories per slice).
