date,addressing postcards,princess ann hotel,carfax by vin,minecraft kitchen mod,bollywood bistro,bonchon nyc,beauregards,mobile waiters,oly fed,kansas city airport address,d tronics,cancer traits male,out of the kitchen,hecho sf,naples grande beach,naples grande beach resort,citi card government,lonestar motors,hula mamas
2012-09-01,0.798,-1.025,0.227,0.833,1.01,-0.168,-0.672,0.289,0.424,-0.485,-0.33,-0.539,-1.001,0.349,-0.734,-0.734,1.328,-0.139,-0.589
2012-10-01,0.444,-0.949,-0.098,-0.632,0.814,-0.238,-0.716,-0.007,0.573,-0.521,0.029,-0.539,-0.862,-0.136,-0.784,-0.776,0.098,0.105,-0.589
2012-11-01,-0.683,-1.042,0.001,0.216,0.576,-0.223,-0.986,-0.145,0.636,-0.481,-0.021,-0.539,-1.058,0.089,-0.841,-0.834,-0.751,-0.046,-0.589
2012-12-01,-0.683,-1.074,0.051,0.161,0.476,-0.207,-1.078,-0.117,0.4,-0.728,-0.917,-0.539,-0.957,0.007,-0.884,-0.88,-0.751,0.227,-0.589
2013-01-01,-0.683,-0.919,0.975,0.615,0.175,-0.254,-1.102,-0.158,0.484,-0.876,-0.875,-0.539,-1.043,-0.259,-0.554,-0.537,-0.751,-0.192,-0.589
2013-02-01,-0.683,-1.022,0.609,-0.632,0.782,-0.183,-0.684,-0.222,0.81,-0.602,-0.142,-0.539,-0.764,-0.217,-0.662,-0.649,-0.751,-0.225,-0.589
2013-03-01,-0.683,-0.931,0.01,0.132,0.77,-0.337,-0.951,-0.152,0.619,-0.481,-0.19,-0.539,-0.801,-0.326,-0.705,-0.696,-0.751,-0.056,-0.589
2013-04-01,0.481,-1.077,-0.269,-0.632,0.248,-0.335,-0.963,-0.165,0.795,-0.498,-0.198,-0.539,-0.963,-0.257,-0.813,-0.807,-0.751,-0.373,-0.589
2013-05-01,-0.683,-1.042,0.485,-0.632,0.806,-0.31,-0.952,-0.262,0.218,-0.548,-0.124,-0.539,-0.611,-0.244,-0.902,-0.897,0.122,-0.205,-0.589
2013-06-01,-0.683,-1.066,-0.675,0.695,0.601,-0.352,-1.166,-0.137,-0.21,-0.664,0.203,-0.539,-0.681,-0.346,-0.829,-0.825,0.17,-0.217,-0.589
2013-07-01,-0.683,-1.087,-0.011,0.339,0.532,-0.25,-1.487,-0.086,-0.072,-0.58,1.133,-0.539,-0.883,-0.62,-0.782,-0.775,0.246,-0.153,0.013
2013-08-01,-0.683,-1.185,0,-0.632,0.304,-0.228,-1.064,-0.123,-0.127,-0.707,0.122,-0.539,-1.065,-0.62,-0.841,-0.834,0.27,-0.334,-0.589
2013-09-01,0.734,-1.214,-0.675,0.138,0.185,-0.356,-0.875,-0.165,-0.174,-0.72,-0.282,-0.539,-0.599,-0.62,-0.913,-0.908,0.679,-0.629,-0.589
2013-10-01,-0.683,-1.268,-0.288,-0.632,0.071,-0.444,-1.106,-0.188,-0.003,-0.609,-0.554,-0.539,-1.193,-0.62,-0.926,-0.923,-0.751,-0.331,-0.589
2013-11-01,-0.683,-1.322,-0.104,-0.632,0.084,-0.33,-0.939,-0.373,-0.054,-0.782,-0.509,-0.539,-1.168,-0.62,-0.91,-0.907,-0.751,-0.2,-0.589
2013-12-01,-0.683,-1.352,0.022,0.124,0.26,-0.383,-1.208,-0.241,-0.023,-0.826,-0.716,-0.539,-1.004,-0.62,-0.876,-0.87,-0.751,-0.538,-0.589
2014-01-01,-0.683,-1.264,-0.088,0.387,0.079,-0.458,-1.157,-0.32,-0.138,-0.778,-0.698,-0.539,-0.764,-0.62,-0.911,-0.904,-0.751,-0.42,-0.589
2014-02-01,-0.683,-1.094,0.027,-0.632,0.288,-0.501,-1.17,-0.385,0.013,-0.78,-0.323,0.31,-0.693,-0.62,-0.963,-0.962,-0.751,0.163,-0.589
2014-03-01,-0.683,-1.169,0.138,0.111,0.159,-0.294,-1.153,-0.388,0.053,-0.772,-0.531,-0.539,-0.376,-0.62,-0.961,-0.958,-0.751,-0.06,-0.589
